subject,birthdate,deathdate,age_at_death,species,sex,social_environment,housing,diet
Al-Ch-1,1961-02-07,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-10,1973-10-01,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-100,1991-06-17,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-101,1991-09-03,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-102,1991-09-10,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-103,1968-01-01,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-104,1982-07-05,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-105,1982-12-01,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-106,1985-11-05,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-107,1962-08-01,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-11,1970-01-01,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-12,1975-08-10,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-13,1975-02-25,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-14,1973-07-01,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-15,1977-05-10,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-16,1977-11-30,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-17,1977-12-26,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-18,1967-01-01,2009-09-03,42.67,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-19,1960-01-01,,,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-2,1964-01-01,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-20,1979-02-26,2010-04-27,31.17,Chimpanzee,Male,Social,Mixed,Chow
Al-Ch-21,1979-06-18,,,Chimpanzee,Female,Social,Mixed,Chow
Al-Ch-22,1980-01-19,,,Chimpanzee,Female,Social,Mixed,Chow
